feature,row_type,mi_proxy_full,mi_mean_cv,mi_cv,hsic,pearson_corr,r2,tv_var_mi_proxy_full,tv_var_mi_mean_cv,tv_var_mi_cv,tv_var_hsic,tv_var_pearson_corr,tv_var_r2,n_features,mi_mean_avg,mi_mean_median,r2_mean,r2_median,n_high_mi,n_high_r2,hsic_mean,hsic_median,best_mi_feature_value,best_mi_feature,best_r2_feature_value,best_r2_feature,best_hsic_feature_value,best_hsic_feature,model_i,model_j,rep_feature_i,rep_feature_j,mi_proxy,mi_forward,mi_backward
microstructure,model_reliability,,,,,,,,,,,,,1.0,0.0006113209516154683,0.0006113209516154683,4.706072032121282e-06,4.706072032121282e-06,0.0,0.0,0.5232225863987916,0.5232225863987916,0.0006113209516154683,microstructure_score,4.706072032121282e-06,microstructure_score,0.5232225863987916,microstructure_score,,,,,,,
spectral,model_reliability,,,,,,,,,,,,,1.0,0.0006043222823482353,0.0006043222823482353,4.386096803793652e-06,4.386096803793652e-06,0.0,0.0,0.5258921609684871,0.5258921609684871,0.0006043222823482353,spectral_score,4.386096803793652e-06,spectral_score,0.5258921609684871,spectral_score,,,,,,,
risk,model_reliability,,,,,,,,,,,,,1.0,0.004220273319864987,0.004220273319864987,3.73753829215711e-09,3.73753829215711e-09,0.0,0.0,0.000741388952215936,0.000741388952215936,0.004220273319864987,path_risk_score,3.73753829215711e-09,path_risk_score,0.000741388952215936,path_risk_score,,,,,,,
microstructure|spectral,model_pairwise,,,,,,0.2907237703666999,,,,,,,,,,,,,,,,,,,,,,microstructure,spectral,microstructure_score,spectral_score,0.5391880658607903,0.5391880658607903,0.5391880658607903
smc|volume,model_pairwise,,,,,,0.1352209017977453,,,,,,,,,,,,,,,,,,,,,,smc,volume,smc_predicted,vol_force_volatility,0.36772394781649087,0.36772394781649087,0.36772394781649087
liquidity|smc,model_pairwise,,,,,,0.0692179625424725,,,,,,,,,,,,,,,,,,,,,,liquidity,smc,liquidity_score,smc_predicted,0.2630930682144106,0.2630930682144106,0.2630930682144106
risk|volume,model_pairwise,,,,,,0.06563974199616768,,,,,,,,,,,,,,,,,,,,,,risk,volume,path_risk_score,vol_force_volatility,0.2562025409635269,0.2562025409635269,0.2562025409635269
volume|xgb_macro,model_pairwise,,,,,,0.0634255383525831,,,,,,,,,,,,,,,,,,,,,,volume,xgb_macro,vol_force_volatility,macro_trend_score_continuous,0.25184427401190423,0.25184427401190423,0.25184427401190423
liquidity|volume,model_pairwise,,,,,,0.039821381195184316,,,,,,,,,,,,,,,,,,,,,,liquidity,volume,liquidity_score,vol_force_volatility,0.19955295336121767,0.19955295336121767,0.19955295336121767
microstructure|smc,model_pairwise,,,,,,0.018719576740459615,,,,,,,,,,,,,,,,,,,,,,microstructure,smc,microstructure_score,smc_predicted,0.13681950423992778,0.13681950423992778,0.13681950423992778
liquidity|xgb_macro,model_pairwise,,,,,,0.014503471610890366,,,,,,,,,,,,,,,,,,,,,,liquidity,xgb_macro,liquidity_score,macro_trend_score_continuous,0.12043036000481924,0.12043036000481924,0.12043036000481924
smc|spectral,model_pairwise,,,,,,0.014408574767193962,,,,,,,,,,,,,,,,,,,,,,smc,spectral,smc_predicted,spectral_score,0.12003572287945768,0.12003572287945768,0.12003572287945768
liquidity|risk,model_pairwise,,,,,,0.008582958702241617,,,,,,,,,,,,,,,,,,,,,,liquidity,risk,liquidity_score,path_risk_score,0.09264425887361621,0.09264425887361621,0.09264425887361621
risk|smc,model_pairwise,,,,,,0.006018475147431758,,,,,,,,,,,,,,,,,,,,,,risk,smc,path_risk_score,smc_predicted,0.07757883182564532,0.07757883182564532,0.07757883182564532
risk|xgb_macro,model_pairwise,,,,,,0.004124199000202512,,,,,,,,,,,,,,,,,,,,,,risk,xgb_macro,path_risk_score,macro_trend_score_continuous,0.06421992681561162,0.06421992681561162,0.06421992681561162
spectral|xgb_macro,model_pairwise,,,,,,0.0031155274906041236,,,,,,,,,,,,,,,,,,,,,,spectral,xgb_macro,spectral_score,macro_trend_score_continuous,0.05581691043585379,0.05581691043585379,0.05581691043585379
spectral|volume,model_pairwise,,,,,,0.0013243073899369534,,,,,,,,,,,,,,,,,,,,,,spectral,volume,spectral_score,vol_force_volatility,0.036391034471926646,0.036391034471926646,0.036391034471926646
microstructure|volume,model_pairwise,,,,,,0.0012925882447480624,,,,,,,,,,,,,,,,,,,,,,microstructure,volume,microstructure_score,vol_force_volatility,0.03595258328337565,0.03595258328337565,0.03595258328337565
smc|xgb_macro,model_pairwise,,,,,,0.000795812635858591,,,,,,,,,,,,,,,,,,,,,,smc,xgb_macro,smc_predicted,macro_trend_score_continuous,0.02821015129095537,0.02821015129095537,0.02821015129095537
liquidity|spectral,model_pairwise,,,,,,0.0007357666554004624,,,,,,,,,,,,,,,,,,,,,,liquidity,spectral,liquidity_score,spectral_score,0.02712501899355026,0.02712501899355026,0.02712501899355026
liquidity|microstructure,model_pairwise,,,,,,0.0006645793742835808,,,,,,,,,,,,,,,,,,,,,,liquidity,microstructure,liquidity_score,microstructure_score,0.025779437043573716,0.025779437043573716,0.025779437043573716
microstructure|risk,model_pairwise,,,,,,0.00038567856651578245,,,,,,,,,,,,,,,,,,,,,,microstructure,risk,microstructure_score,path_risk_score,0.019638700733902496,0.019638700733902496,0.019638700733902496
microstructure|xgb_macro,model_pairwise,,,,,,1.8424782999483524e-05,,,,,,,,,,,,,,,,,,,,,,microstructure,xgb_macro,microstructure_score,macro_trend_score_continuous,0.004292409929105505,0.004292409929105505,0.004292409929105505
risk|spectral,model_pairwise,,,,,,9.366779040271322e-06,,,,,,,,,,,,,,,,,,,,,,risk,spectral,path_risk_score,spectral_score,0.0030605194069424427,0.0030605194069424427,0.0030605194069424427
